timestamp,equipment_id,operation_mode,location,terrain_type,load_weight_tonnes,fuel_consumption_liters,distance_traveled_km,maintenance_flag,downtime_hours,temperature_celsius,humidity_percent,sensor_failure
1/1/2023 0:00,EQ-52,automatic,RioTinto_Canada_Copper,mixed,56.81,86.63,16.19,1,0,26.68,40.47,1
1/1/2023 1:00,EQ-93,automatic,RioTinto_Canada_Copper,clay,65.56,90.41,5.17,1,0,16.37,51.06,1
1/1/2023 2:00,EQ-15,manual,RioTinto_Canada_Copper,mixed,60.17,119.28,19.41,1,0,29.07,56.78,1
1/1/2023 3:00,EQ-72,automatic,RioTinto_Canada_Copper,rocky,68.57,80.75,17.93,1,0,18.44,25.46,1
1/1/2023 4:00,EQ-61,automatic,RioTinto_Canada_Copper,sandy,49.07,138.38,16.63,1,0,30.6,44.08,1
1/1/2023 5:00,EQ-21,manual,RioTinto_Canada_Copper,rocky,45.86,79.66,22.05,1,0,17.17,58.08,1
1/1/2023 6:00,EQ-83,automatic,RioTinto_Canada_Copper,clay,46.53,59.06,10.96,1,0,22.77,59.47,1
1/1/2023 7:00,EQ-87,automatic,RioTinto_Canada_Copper,clay,63.74,86.84,9.67,1,4.53,28.59,57.49,1
1/1/2023 8:00,EQ-75,automatic,RioTinto_Canada_Copper,mixed,43.61,107.14,17.5,1,0,21.64,52.61,1
1/1/2023 9:00,EQ-75,automatic,RioTinto_Canada_Copper,rocky,58.47,102.73,11.22,1,0,24.43,57.84,1
1/1/2023 10:00,EQ-88,manual,RioTinto_Canada_Copper,rocky,41.4,103.66,23.33,1,0,24.46,59.46,1
1/1/2023 11:00,EQ-100,manual,RioTinto_Canada_Copper,sandy,41.58,94.46,11.53,1,0,22.49,60.55,1
1/1/2023 12:00,EQ-24,automatic,RioTinto_Canada_Copper,sandy,61.84,89.98,11.41,1,0,31.67,65.7,1
1/1/2023 13:00,EQ-3,manual,RioTinto_Canada_Copper,rocky,54.37,75.21,12.99,1,0,29.69,51.05,1
1/1/2023 14:00,EQ-22,automatic,RioTinto_Canada_Copper,mixed,28.4,102.59,13.51,1,0,12.61,63.06,1
1/1/2023 15:00,EQ-53,automatic,RioTinto_Canada_Copper,sandy,41.46,121.14,13.16,1,0,31.34,48.08,1
1/1/2023 16:00,EQ-2,automatic,RioTinto_Canada_Copper,rocky,24.29,100.28,13.68,1,0,22.1,49.29,1
1/1/2023 17:00,EQ-88,automatic,RioTinto_Canada_Copper,rocky,46.24,84.78,13.19,1,0,34.76,66.93,1
1/1/2023 18:00,EQ-30,automatic,RioTinto_Canada_Copper,rocky,47.27,102.92,7.22,1,0,20.66,72.34,1
1/1/2023 19:00,EQ-38,manual,RioTinto_Canada_Copper,clay,45.26,129.28,17.52,1,0,21.22,52.24,1
1/1/2023 20:00,EQ-2,manual,RioTinto_Canada_Copper,mixed,62.06,95.92,12.82,1,0,23.43,56.5,1
1/1/2023 21:00,EQ-64,automatic,RioTinto_Canada_Copper,rocky,54.13,75.27,14.23,1,0,29.42,30.63,1
1/1/2023 22:00,EQ-60,automatic,RioTinto_Canada_Copper,rocky,74.66,104.4,8.93,1,0,23.14,47.01,1
1/1/2023 23:00,EQ-21,manual,RioTinto_Canada_Copper,rocky,55.34,111.79,7.38,1,0,25.86,56.33,1
1/2/2023 0:00,EQ-33,manual,RioTinto_Canada_Copper,sandy,55.53,117.34,14.53,1,0,27.2,48.72,1
1/2/2023 1:00,EQ-76,manual,RioTinto_Canada_Copper,rocky,52.72,113.94,22.77,1,0,22.31,50.53,1
1/2/2023 2:00,EQ-58,automatic,RioTinto_Canada_Copper,clay,47.31,103.32,22.6,1,0,34.92,51.51,1
1/2/2023 3:00,EQ-22,manual,RioTinto_Canada_Copper,clay,43.5,83.32,10.46,1,0,23.53,58.83,1
1/2/2023 4:00,EQ-89,automatic,RioTinto_Canada_Copper,mixed,47.65,80.33,11.3,1,0,20.89,34.29,1
1/2/2023 5:00,EQ-49,automatic,RioTinto_Canada_Copper,rocky,48.11,93.24,15.85,1,0,24.75,66.86,1
1/2/2023 6:00,EQ-91,automatic,RioTinto_Canada_Copper,rocky,49.06,112.31,1.67,1,0,31.32,59.75,1
1/2/2023 7:00,EQ-59,automatic,RioTinto_Canada_Copper,rocky,56.36,86.99,12.07,1,0,23.55,52.51,1
1/2/2023 8:00,EQ-42,automatic,RioTinto_Canada_Copper,clay,53,90.19,16.11,1,0,26.83,50.02,1
1/2/2023 9:00,EQ-92,automatic,RioTinto_Canada_Copper,sandy,44.83,82.29,13.85,1,0,23.16,37.84,1
1/2/2023 10:00,EQ-60,automatic,RioTinto_Canada_Copper,sandy,42.62,131.22,5.5,1,0,28.94,50.62,1
1/2/2023 11:00,EQ-80,manual,RioTinto_Canada_Copper,rocky,52.24,95.56,5.86,1,0,9.61,35.68,1
1/2/2023 12:00,EQ-15,automatic,RioTinto_Canada_Copper,sandy,40.73,113.43,7.84,1,0,27.17,64.98,1
1/2/2023 13:00,EQ-62,automatic,RioTinto_Canada_Copper,mixed,45.73,131.61,14.61,1,0,24.27,58.5,1
1/2/2023 14:00,EQ-62,automatic,RioTinto_Canada_Copper,clay,44.69,80.97,10.82,1,0,32.75,53.83,1
1/2/2023 15:00,EQ-47,manual,RioTinto_Canada_Copper,rocky,74.26,115.18,22.79,1,0,25.94,37.68,1
1/2/2023 16:00,EQ-62,automatic,RioTinto_Canada_Copper,sandy,37.26,98.14,8.32,1,0,22.42,37.01,1
1/2/2023 17:00,EQ-51,automatic,RioTinto_Canada_Copper,rocky,42.07,128.11,21.14,1,0,28.46,38.92,1
1/2/2023 18:00,EQ-55,automatic,RioTinto_Canada_Copper,rocky,44.44,84.15,8.98,1,0,25.42,47.97,1
1/2/2023 19:00,EQ-64,manual,RioTinto_Canada_Copper,clay,45.48,104.29,27.58,1,0,24.47,64.05,1
1/2/2023 20:00,EQ-3,manual,RioTinto_Canada_Copper,clay,60,112.69,18.31,1,0,30.29,57.28,1
1/2/2023 21:00,EQ-51,automatic,RioTinto_Canada_Copper,sandy,47.46,86.31,3.91,1,0,27.7,55.71,1
1/2/2023 22:00,EQ-7,automatic,RioTinto_Canada_Copper,clay,36.76,95.85,21.08,1,0,25.21,47.57,1
1/2/2023 23:00,EQ-21,manual,RioTinto_Canada_Copper,mixed,64.31,97.19,12.69,1,0,34.1,48.63,1
1/3/2023 0:00,EQ-73,automatic,RioTinto_Canada_Copper,rocky,52.64,121.88,19.64,1,0,19.42,55.47,1
1/3/2023 1:00,EQ-39,automatic,RioTinto_Canada_Copper,clay,54.21,144.36,14.95,1,0,25.68,50.27,1
